Name,Naics Code Description,Address,City,County,State,Zip Code,"Excess Food Estimate, Low (tons per year)"
Kings Home Fixinz LLC,Caterers,103 Outer Belle Rd APT B,Trotwood,Montgomery,OH,45426,2.06
King's Lounge & Food Catering LLC,Caterers,3724 Marysville Blvd,Sacramento,Sacramento,CA,95838,1.44
Kings of Q Catering Corporation,Caterers,8317 28th Ave N,Minneapolis,Hennepin,MN,55427,6.22
"King's Party House, Inc.",Caterers,4031 State Route 5 and 20,Canandaigua,Ontario,NY,14424,11.48
Kings Point Catering,Caterers,5 Humming Ln,Commack,Suffolk,NY,11725,7.11
Kings Pointe Catering & Fundraising,Caterers,112 S Quarry St,Mount Pleasant,Westmoreland,PA,15666,3.54
Kings Table Catering,Caterers,313 N East St,Bloomington,McLean,IL,61701,3.06
King's Table Catering,Caterers,40 Carol Villa Dr,Montgomery,Montgomery,AL,36109,1.44
King's Table Hospitality LLC,Caterers,809 S Ivey Ln APT G,Orlando,Orange,FL,32811,2.51
Kingsborough Castle Banquet,Caterers,43785 N Gratiot Ave,Clinton Township,Macomb,MI,48036,1.38
Kingston Kosher Inc.,Caterers,385 Kingston Ave,Brooklyn,Kings,NY,11225,0.79
Kingz Kitchen Catering LLC,Caterers,122 Baybury Ln,Jackson,Hinds,MS,39212,4.43
Kino's Boiled Seafood,Caterers,7550 Kirby Dr,Houston,Harris,TX,77030,0.50
Kinser & Associates 2 Inc,Caterers,3362 S US Highway 1,Fort Pierce,St. Lucie,FL,34982,11.08
Kinya Catering &DElivery,Caterers,1006 Forest GLN,Jonesboro,Clayton,GA,30238,5.31
Kio Catering LLC,Caterers,275 Shore Dr E,Miami,Miami-Dade,FL,33133,1.42
Kiosco Banquet Hall,Caterers,7271 Dix St,Detroit,Wayne,MI,48209,1.23
"Kipco, Inc.",Caterers,2500 W Francis Ave,Midland,Midland,TX,79701,1.45
Kirbys Catering Kitchen,Caterers,203 Meadowgreen Dr,Franklin,Williamson,TN,37069,9.99
Kirby's Woodfired Catering LLC,Caterers,1616 W Mountain Ave,Fort Collins,Larimer,CO,80521,4.68
Kirks Catering Carryout,Caterers,3470 E Broad St,Statesville,Iredell,NC,28625,1.19
"Kirksey Catering Co, LLC",Caterers,11100 Superior Lndg,Bowie,Prince Georges,MD,20720,2.42
Kirkwood Room,Caterers,515 Kirkwood Ave,Iowa City,Johnson,IA,52240,1.43
"Kis & Roberts, LLC",Snack and Nonalcoholic Beverage Bars,11559 Captiva Kay Dr,Riverview,Hillsborough,FL,33569,0.56
"Kishan & Krunal, Inc.",Caterers,24 Evans St,Warminster,Bucks,PA,18974,0.63
Kiss Catering Services LLC,Caterers,1189 E 35th St,Los Angeles,Los Angeles,CA,90011,1.44
"Kiss Catering, Inc",Caterers,7525 Split Rail Cv,Memphis,Shelby,TN,38125,6.69
Kiss My Seoul LLC,Caterers,1464 Fox Plaza Ln,Burlingame,San Mateo,CA,94010,17.94
Kiss of Klass Decor and Catering LLC,Caterers,2121 Lobdell Blvd # 6030,Baton Rouge,East Baton Rouge,LA,70806,1.44
Kiss The Chef,Caterers,75 Hemlock St,Stratford,Fairfield,CT,06615,1.41
Kiss The Chef Catering,Caterers,55 Haverford Rd,Warwick,Kent,RI,02886,2.07
"Kiss The Chef Catering, LLC",Caterers,543 W Wilson Ave,Coolidge,Pinal,AZ,85128,6.51
Kiss The Cook Catering Company,Caterers,11516 Carriage Rest CT,Louisville,Jefferson,KY,40243,1.23
Kiss The Cook Catering LLC,Caterers,158 Pper Mill Rd APT 2306,Lawrenceville,Gwinnett,GA,30046,1.44
Kissane Catering Inc,Caterers,5106 W Irving Park Rd,Chicago,Cook,IL,60641,0.69
Kissell's Elegant Edible,Caterers,409 Newport Dr,Greensburg,Westmoreland,PA,15601,0.72
Kit Cajan Catering,Caterers,6619 Wllngton Meadows Dr,Katy,Harris,TX,77449,5.90
Kitch Limited Liability Company,Snack and Nonalcoholic Beverage Bars,9311 N FM 620 Rd Ste 300,Austin,Travis,TX,78726,4.21
"Kitchen 18, LLC",Caterers,10211 N Scottsdale Rd,Scottsdale,Maricopa,AZ,85253,11.33
Kitchen 19,Caterers,19 S 2nd St,Hammonton,Atlantic,NJ,08037,1.90
Kitchen 713,Caterers,4515 Canal St,Houston,Harris,TX,77011,11.79
Kitchen Catering,Caterers,16313 Frost Bird Rd,Weeki Wachee,Hernando,FL,34614,1.44
Kitchen Catering and Events LLC,Caterers,606 Rivanna Ave,Charlottesville,Charlottesville city,VA,22903,10.95
Kitchen Charm,Caterers,1701 Springwood Dr,Modesto,Stanislaus,CA,95350,2.28
Kitchen Diva Catering Inc.,Caterers,1425 Ridenour Blvd NW # 8,Kennesaw,Cobb,GA,30152,1.44
Kitchen Door,Caterers,5035 Nicklas Pl Ne,Seattle,King,WA,98105,4.06
Kitchen Katering Inc,Caterers,24111 Rockwell Dr,Euclid,Cuyahoga,OH,44117,50.66
"Kitchen Kid, LLC",Caterers,2305 190th St,Redondo Beach,Los Angeles,CA,90278,38.36
Kitchen Kings Catering LLC,Caterers,5840 Spring Valley Rd,Dallas,Dallas,TX,75254,1.44
Kitchen Kings Catering LLC,Caterers,939 Carnegie Ave Ste 100,Plainfield,Union,NJ,07060,1.44
Kitchen Network,Caterers,4986 Morrison Rd,Denver,Denver,CO,80219,11.42
Kitchen Porch Ltd,Caterers,14 A St,Edgartown,Dukes,MA,02539,2.11
Kitchen Provance Caterers,Caterers,55 W 38th St Frnt 1,New York,New York,NY,10018,15.18
"Kitchen Results, LLC",Caterers,2241 Cardinal Blvd,Carrollton,Denton,TX,75010,3.28
"Kitchen Savant, Inc",Mobile Food Services,186 Raintree Trl,Jupiter,Palm Beach,FL,33458,0.23
Kitchen Sisters LLC,Caterers,407 Highway 191,Persia,Harrison,IA,51563,5.29
"Kitchen Table Cafe, LLC",Caterers,1644 Eudora St,Denver,Denver,CO,80220,5.86
"Kitchen Table Catering, LLC",Caterers,424 E 10th St,Leadville,Lake,CO,80461,4.68
Kitchen The Festive Inc,Caterers,3404 Rosedale Ave,Dallas,Dallas,TX,75205,1.38
"Kitchen To Aisle Catering and Events, LLC",Caterers,473 Merrimac St,Newburyport,Essex,MA,01950,1.23
Kitchen Witch Catering,Caterers,515 N Clarkson St,Denver,Denver,CO,80218,10.27
KITCHEN WITCH CATERING,Caterers,580 Bone Hollow Rd,Accord,Ulster,NY,12404,6.94
"Kitchenable, Llc.",Caterers,967 Briarcliff Rd,Tallahassee,Leon,FL,32308,1.55
"Kitchens By Chef Betty, Inc.",Caterers,5916 Thunder Rd,Sebring,Highlands,FL,33876,4.87
"Kitoko Pastry and Catering, LLC",Caterers,878 Front St Ste A11,Lahaina,Maui,HI,96761,1.44
Kitty Touch,Caterers,3051 Huron Dr,Beaufort,Beaufort,SC,29902,2.83
Kittykakes Cakes & Caterer,Caterers,16 Oak Dr,Stafford,Stafford,VA,22554,2.76
Kitty's Catering,Caterers,4418 Indian Gardens Way,Humble,Harris,TX,77396,2.95
Kitty's Touch of Elegance,Caterers,149 Jenkins Rd,Yemassee,Hampton,SC,29945,0.64
Kiva Catering Corp,Caterers,1731 Humboldt St,Manhattan,Riley,KS,66502,1.44
Kiwaz Catering Events,Caterers,33 Lexington St,Waltham,Middlesex,MA,02452,12.40
"Kiya's Kitchen Catering, LLC",Caterers,11820 S Peoria St,Chicago,Cook,IL,60643,1.44
"KJCQ, LLC",Mobile Food Services,2034 S Whisper Cove Way,Boise,Ada,ID,83709,0.66
Kjm Restaurant and Catering Inc.,Caterers,3096 NC Highway 55 W,New Bern,Craven,NC,28562,2.61
K-John's Catering Company LLC,Caterers,103 Broad St,Camden,Wilcox,AL,36726,
Kjs Culinary Creations Limited Liability Company,Caterers,72 Chancellor Park Dr,Mays Landing,Atlantic,NJ,08330,1.44
"Kl Cookies and Catering, LLC",Caterers,6545 Stonehurst Cir,Lake Worth,Palm Beach,FL,33467,1.44
Kl Cooking & Catering LLC,Caterers,12801 E County Road 135,Midland,Midland,TX,79706,5.89
Klaimongkol Culinary Services Inc,Caterers,2373 Macgruder Cv,Memphis,Shelby,TN,38119,10.04
Klarba Catering,Caterers,6712 Woodman Ave APT 1,Van Nuys,Los Angeles,CA,91401,17.94
Klas La Restaurant and Catering Services LLC,Caterers,1226 Lake Highview Ln,Brandon,Hillsborough,FL,33510,1.56
Klassic Katering,Caterers,8511 Bull Headley Rd # 300,Tallahassee,Leon,FL,32312,1.56
Klassic Katering,Caterers,9043 Eagles Ridge Dr,Tallahassee,Leon,FL,32312,1.53
Klassic Katering,Caterers,2207 Bannerman Rd,Tallahassee,Leon,FL,32312,4.51
Klassic Louisiana Catering LLC,Caterers,2902 McIlhenny Dr,Baton Rouge,East Baton Rouge,LA,70809,5.89
"Klaver's Katering, LLC",Caterers,9627 W Gibson Ranch Rd,Payson,Gila,AZ,85541,2.56
Klm Culinary LLC,Caterers,4001 Santa Maria St,Coral Gables,Miami-Dade,FL,33146,1.44
K'Loves Catering LLC,Caterers,2288 Sabine Ave,Lynchburg,Lynchburg city,VA,24501,1.44
Kls Catering,Caterers,773 W 8th St,Wyoming,Luzerne,PA,18644,5.20
Kls Catering Corp.,Caterers,18012 NW 48th Pl,Miami Gardens,Miami-Dade,FL,33055,1.44
Klub Haus 61,Caterers,2031 Newton St,Jasper,Dubois,IN,47546,5.54
Klutch Catering & Events L.L.c,Caterers,3731 SW 160th Ave APT 112,Miramar,Broward,FL,33027,1.44
"K'Lynns Catering, LLC",Caterers,688 Vancouver Rd SE,Rio Rancho,Sandoval,NM,87124,6.77
Kmfec Plano LLC,Caterers,7252 Chase Oaks Blvd,Plano,Collin,TX,75025,6.90
Kmr Gourmet Catering,Caterers,3622 Hope St,Huntington Park,Los Angeles,CA,90255,10.96
Kmrt Enterprises LLC,Mobile Food Services,55 Uncle Ed St,Eminence,Henry,KY,40019,1.93
Kms Snacks,Mobile Food Services,2181 36th St,Allegan,Allegan,MI,49010,7.48
"Kna, LLC",Caterers,3141 Fairlane Farms Rd # 8,Loxahatchee,Palm Beach,FL,33470,5.20
Knead A Chef Caterers,Caterers,1878 County Road 39,Southampton,Suffolk,NY,11968,5.93
Kneaders,"Cafeterias, Grill Buffets, and Buffets",1324 W 200 N,Kaysville,Davis,UT,84037,1.56
Knife and Fork Culinary Service,Caterers,6434 Oakcreek Way,Citrus Heights,Sacramento,CA,95621,1.47
Knife Fork and Spoon,Caterers,1125 Russell Ave,Sarasota,Sarasota,FL,34232,0.65
"Knights' Catering, Inc.",Caterers,255 Mendell St,San Francisco,San Francisco,CA,94124,38.87
Knight's Kitchen,Caterers,5060 Jackson Rd Ste D,Ann Arbor,Washtenaw,MI,48103,2.38
Knights of Columbus,Caterers,100 S 129th Infantry Dr,Joliet,Will,IL,60436,1.26
Kniseley Catered,Caterers,206 Stallion Estates Dr,Spring Branch,Comal,TX,78070,1.74
Knish-A-Licious LLC,Caterers,3605 Baron Monck Pass,Raleigh,Wake,NC,27612,1.32
Knitted Hearts Catering,Caterers,209 Henry St,Bluefield,Mercer,WV,24701,1.44
Knj Catering,Caterers,308 W Jersey Ave,Brandon,Hillsborough,FL,33510,8.58
Knot Norms Catering Company LLC,Caterers,10a 1st St,Norwalk,Fairfield,CT,06855,16.55
Knotty Pine Catering,Caterers,11706 N Kensington Dr,Houston,Harris,TX,77031,1.30
Knotty Snacks,Mobile Food Services,1930 Airport Ind Pk Dr SE,Marietta,Cobb,GA,30060,17.46
Knowles & Knowles Ltd.,Caterers,1705 Deer Chase Ln,Hephzibah,Richmond,GA,30815,5.29
Knox Vegas Catering Inc,Caterers,1309 S Chilhowee Dr,Knoxville,Knox,TN,37914,1.81
Knoxville Moe's Catering,Caterers,1800 Cumberland Ave,Knoxville,Knox,TN,37916,1.58
Knr Catering,Caterers,442 Staghorn Pass Ave,Las Vegas,Clark,NV,89183,66.83
Knusaha LLC,Mobile Food Services,3916 W 7th St,Los Angeles,Los Angeles,CA,90005,1.97
Ko Catering & Pies,Caterers,256 Marginal St Ste 16,Boston,Suffolk,MA,02128,13.80
Ko Catering & Pies,Caterers,87 A St,Boston,Suffolk,MA,02127,11.31
"Ko Events, LLC",Caterers,423 Halsey Rd,Annapolis,Anne Arundel,MD,21401,0.67
Kobe Catering Inc,Caterers,1317 S 22nd CT,Hollywood,Broward,FL,33020,1.44
Kocky Johns Catering,Caterers,33 Pulaski St B,Ware,Hampshire,MA,01082,4.72
Kodra's Food Catering Inc,Caterers,1429 Gillespie Ave,Bronx,Bronx,NY,10461,4.98
Koetsier Ranch,Caterers,8230 Avenue 272,Visalia,Tulare,CA,93277,4.13
Kohler Foods Inc,Caterers,4572 Presidential Way,Dayton,Montgomery,OH,45429,36.03
"Kohler's Eats & Treats, LLC",Mobile Food Services,6010 Francis Marion Rd,Effingham,Florence,SC,29541,0.83
Koinonia Catering,Caterers,1967 SE 15th St,Homestead,Miami-Dade,FL,33035,1.44
Koko Kitchen LLC,Caterers,702 S 300 E,Salt Lake City,Salt Lake,UT,84111,1.49
Koko Palace,Caterers,5101 Avenue Q,Lubbock,Lubbock,TX,79412,0.38
Kokohead Foods Ltd.,Caterers,1530 Kalaepohaku Pl,Honolulu,Honolulu,HI,96816,3.43
"Kokomo's Kove, LLC",Mobile Food Services,155 175th Terrace Dr E # 2,Redington Shores,Pinellas,FL,33708,2.08
"Kolaiahs Caterers, Inc",Caterers,2348 Aloha Bay CT,Ocoee,Orange,FL,34761,1.44
Kola's Family Catering L.L.C.,Caterers,2408 Crescent Dr,Cedar Falls,Black Hawk,IA,50613,1.44
"Kole's Family Kitchen / Catering, LLC",Caterers,1691 1/2 E 110th St,Los Angeles,Los Angeles,CA,90059,1.44
Koloa Plantation Days,Caterers,4500 Niu St,Kapaa,Kauai,HI,96746,0.00
"Kolohe Boys, LLC",Caterers,12802 S Catalina Ave,Gardena,Los Angeles,CA,90247,8.77
Kolping Center,Caterers,10235 Mill Rd,Cincinnati,Hamilton,OH,45231,8.73
Kombu Kitchen,Caterers,9 Old Right Rd,Ipswich,Essex,MA,01938,2.99
"Kombu Kitchen Sf, LLC",Caterers,35541 Camino Capistrano,San Clemente,Orange,CA,92672,4.27
Kona Ice of Clinton & Highland Counties,Mobile Food Services,9206 E Kemper Rd,Loveland,Clermont,OH,45140,1.44
"Kona Ice of Gloucester/York County, LLC",Mobile Food Services,6851 Cedar Lake Dr,Gloucester,Gloucester,VA,23061,1.74
Kona-Kohala Chefs De Cuisine,Caterers,,Kailua Kona,Hawaii,HI,96745,4.57
"Konnie's Catering, LLC",Caterers,5720 Hawkes Bluff Ave,Davie,Broward,FL,33331,4.23
Kook Caters LLC,Caterers,1945 Byrd Rd,Vienna,Fairfax,VA,22182,7.60
Kookaburra LLC,Caterers,15110 Kercheval Ave,Grosse Pointe Park,Wayne,MI,48230,0.60
Kookieboo Catering,Caterers,11528 Waesche Dr,Bowie,Prince Georges,MD,20721,1.56
Kooky Concessions LLC,Caterers,528 5th Ave NW Unit A,Rochester,Olmsted,MN,55901,2.06
Kool Breeze Seafood Catering LLC,Caterers,4761 Major Dr,New Orleans,Orleans,LA,70128,4.67
"Kool Campbell's Kitchen and Catering, LLC",Caterers,400 Possum CT,Capitol Heights,Prince Georges,MD,20743,13.54
"Koolfire Catering, LLC",Caterers,1001 Oak St Ste 101,Bozeman,Gallatin,MT,59715,7.66
Koram Catering Inc,Caterers,12 E Edsall Blvd,Palisades Park,Bergen,NJ,07650,8.46
Korean Culinary Arts Inc,Caterers,166 Moore Ave,Leonia,Bergen,NJ,07605,1.44
Korner 8 Tokyo Corp.,Caterers,8 Lagrange Ave,Poughkeepsie,Dutchess,NY,12603,0.47
Ko's Raw Adventures,Caterers,154 Hayward St,Manchester,Hillsborough,NH,03103,0.86
"Kosch Enterprises, Inc.",Caterers,1 Lafayette St,Pontiac,Oakland,MI,48342,5.26
Kosch Food Service Inc.,Caterers,324 East St,Rochester,Oakland,MI,48307,13.80
Kosher Catering Inc.,Caterers,14124 Jewel Ave,Flushing,Queens,NY,11367,1.44
"Kosher Certification of America Kca, LLC",Caterers,1101 Pepper Tree Ln,Brandeis,Ventura,CA,93064,4.40
Kosher City Corporation,Caterers,2120 Ne 123rd St,North Miami,Miami-Dade,FL,33181,3.28
Kosher Cuisine Inc,Caterers,1725 Graham Ave APT 130,Saint Paul,Ramsey,MN,55116,2.62
Kosher Culinary Center Inc,Caterers,1864 E 24th St,Brooklyn,Kings,NY,11229,4.11
Kosher Imperial Catering,Caterers,7327 Main St,Flushing,Queens,NY,11367,1.44
Kosher Island Take Home Food Inc,Caterers,1116 E 26th St,Brooklyn,Kings,NY,11210,4.17
Kosher Kats Inc.,Caterers,744 W State Rd Ste 434,Longwood,Seminole,FL,32750,8.93
"Kosher Palate Caterers, Inc.",Caterers,6590 160th St,Flushing,Queens,NY,11365,
Kosher Production,Caterers,296 Midland Ave Ste G,Saddle Brook,Bergen,NJ,07663,2.48
Kostas Cafe,"Cafeterias, Grill Buffets, and Buffets",31 Pleasant St,Spencer,Worcester,MA,01562,3.31
Kostas Catering LLC,Caterers,535 Kale St,Satellite Beach,Brevard,FL,32937,5.19
Kottler Catering,Caterers,258 Old Tavern Rd,Hunlock Creek,Luzerne,PA,18621,1.95
"Koumbaros Catering, Llc.",Caterers,22770 Lake Shore Blvd,Euclid,Cuyahoga,OH,44123,7.85
"Kountry Katering, LLC",Caterers,2807 Ne Alexander Ln,Albany,Linn,OR,97321,1.65
"Koutsos Spartan Restaurant, Inc.",Caterers,6121 Massachusetts Ave,New Port Richey,Pasco,FL,34653,24.02
Kozy Korner Katering,Caterers,15451 Cottage Grove Ave,Dolton,Cook,IL,60419,2.40
Kp Catering L.L.C.,Caterers,194 S Hanover St Ste 103,Pottstown,Montgomery,PA,19464,1.44
Kp Katering LLC,Caterers,19817 53rd Ave,Chippewa Falls,Chippewa,WI,54729,7.10
Kp Katering Offfice,Caterers,809 W Clairemont Ave,Eau Claire,Eau Claire,WI,54701,5.78
Kpea's Gourmet Catering LLC,Caterers,2311 Tidewater Dr,Slidell,St. Tammany,LA,70458,1.44
Kpelle Konga Catering LLC,Caterers,5410 Buck Hollow Dr,Alpharetta,Fulton,GA,30005,1.44
Krafty Kidz Inc,Caterers,1907 Pine Dr,McHenry,McHenry,IL,60051,0.78
Kramer Entertaiment Inc,Caterers,160 Maywood Ave NW,Palm Bay,Brevard,FL,32907,1.74
Kramer Roof,Caterers,101 N Broadway St,McComb,Pike,MS,39648,4.26
Kramer S Kitchen,Caterers,17861 2200 East St,Princeton,Bureau,IL,61356,7.15
Krave Events LLC,Caterers,94 Championship Pl,Augusta,Sussex,NJ,07822,6.09
"Kraving Vegan Catering & Events, Corp",Caterers,2775 Ne 187th St APT 112,Miami,Miami-Dade,FL,33180,1.44
Kravings Catering and More LLC,Caterers,1957 W 44th St,Jacksonville,Duval,FL,32209,1.44
Krazy Karaoke,Snack and Nonalcoholic Beverage Bars,Pearl Kai Shopping Ctr,Aiea,Honolulu,HI,96701,9.78
"Krazynice Catering Co,",Caterers,764 Brossard Dr,Thousand Oaks,Ventura,CA,91360,5.95
Kreative Catering,Caterers,241 W 54th St,New York,New York,NY,10019,3.94
Kreative Catering Inc,Caterers,810 Geneva Dr,Oviedo,Seminole,FL,32765,2.07
Kreative Creations,Caterers,6801 Holly Berry CT,District Heights,Prince Georges,MD,20747,1.32
"Kreative Gourmet, LLC",Caterers,175 Markle St,Philadelphia,Philadelphia,PA,19127,1.44
Kreole Eatz Catering Service LLC,Caterers,5857 Sepulveda Ln,Atlanta,Fulton,GA,30349,0.99
"Krienke Foods International, Inc.",Mobile Food Services,1716 Stuart Ave,Mountain Lake,Cottonwood,MN,56159,3.79
Kriksub Meats and Catering,Caterers,532 Kelley CT,Fort Worth,Tarrant,TX,76120,0.62
Kris Zapata Catering,Caterers,15714 Mesa Verde Dr,Houston,Harris,TX,77059,5.90
Krishna Catering Inc,Caterers,29206 Orchard Lake Rd,Farmington Hills,Oakland,MI,48334,2.73
Krispy Klean Household & Catering Services LLC,Caterers,205 Lexington Ave,Paterson,Passaic,NJ,07502,1.44
"Kris's Catering, Inc.",Caterers,55 Davis Rd,Millbury,Worcester,MA,01527,6.69
Krissys Katering LLC,Caterers,225 W Edmondson St,Culpeper,Culpeper,VA,22701,1.76
Krista's Country Catering,Caterers,4559 E Wilson Rd,Ashley,Gratiot,MI,48806,1.52
Krista's Deli and Catering LLC,Caterers,652 Hamilton Rd,Pittsburgh,Allegheny,PA,15205,5.96
Kristen Marie's LLC,Caterers,1917 Gwynn Oak Ave,Gwynn Oak,Baltimore,MD,21207,0.77
Kristen's Kitchen,Caterers,7275 Brighton Dr,Dublin,Alameda,CA,94568,6.94
Kristen's Kitchen & Catering,Caterers,2150 State Route 48,Fulton,Oswego,NY,13069,15.16
Kristenwood Catering & Reception,Caterers,14025 Greenwell Sprng Rd,Greenwell Springs,East Baton Rouge,LA,70739,7.37
"Kristi Amoroso Special Events, LLC",Caterers,1275 E Macarthur St,Sonoma,Sonoma,CA,95476,2.85
Kristina's Catering,Caterers,46837 Jewel,Macomb,Macomb,MI,48044,2.28
Kristina's Rudegal Catering LLC,Caterers,6614 Stanton Rd,Hyattsville,Prince Georges,MD,20784,1.44
Kristof's Catering Company,Caterers,1424 N M St,Lake Worth,Palm Beach,FL,33460,1.48
Kroger Company Culinary T,Caterers,901 Elm St,Cincinnati,Hamilton,OH,45202,11.22
Krystal Gardens,Caterers,1146 Spindle Hill Rd,Waterbury,New Haven,CT,06716,5.69
Krystal Kleer Ice Sculptures LLC,Caterers,1760 Prospect CT 118by,Appleton,Outagamie,WI,54914,1.44
K'S Catering LLC,Caterers,605 Holly Dr,Perth Amboy,Middlesex,NJ,08861,4.82
KS Enterprises Inc,Caterers,546 Paden Dr,Lawrenceville,Gwinnett,GA,30044,0.91
K'S Market Catering,Caterers,7 Amherst Rd,Pleasant Ridge,Oakland,MI,48069,5.38
K'S Revolutionary Catering & More LLC,Caterers,1900 Nicollet Ave,Minneapolis,Hennepin,MN,55403,8.29
KSA Catering LLC,Caterers,11700 Mukilteo Spdwy # 4,Mukilteo,Snohomish,WA,98275,9.50
"Kserita Express, LLC",Mobile Food Services,160 Ne 167th St 170172,Miami,Miami-Dade,FL,33162,0.76
Ksg Catering LLC,Caterers,623 E Grand Ave,El Segundo,Los Angeles,CA,90245,1.44
Ksharee Katering LLC,Caterers,9301 Compton Ave APT 2,Los Angeles,Los Angeles,CA,90002,1.44
Kt Klasic Taste Catering LLC,Caterers,2222 Dawn Shadow Way,Fresno,Fort Bend,TX,77545,1.06
"K-Tea, LLC",Mobile Food Services,18041 Magnolia St,Fountain Valley,Orange,CA,92708,11.42
"Ktj Catering, LLC",Caterers,97 Jacobs Ter,Middletown,Middlesex,CT,06457,18.97
Kt's Catering and Event Planning LLC,Caterers,410 Walla Walla St,Umatilla,Umatilla,OR,97882,1.44
"Kts Culinary Solutions, LLC",Caterers,1958 Bulls Head Rd,Stanfordville,Dutchess,NY,12581,4.97
"Kts, LLC",Mobile Food Services,6117 Dark Forest Dr,McKinney,Collin,TX,75070,8.73
Ku High School Cafeteria,"Cafeterias, Grill Buffets, and Buffets",1300 Monclaire St,Klamath Falls,Klamath,OR,97601,20.57
Kubecki's Catering,Caterers,813 Union Cemetery Rd,Greensburg,Westmoreland,PA,15601,3.36
Kubiq Cuisines,Caterers,3420 Pump Rd 126,Richmond,Henrico,VA,23233,6.80
"Kuby's Sausage House, Inc.",Caterers,6601 Snider Plz,Dallas,Dallas,TX,75205,9.97
Kuhns Catering Inc,Caterers,4887 Onondaga Rd,Syracuse,Onondaga,NY,13215,9.90
Kults Catering,Caterers,1605 N 106th St,Omaha,Douglas,NE,68114,1.53
Kumback Cafe,"Cafeterias, Grill Buffets, and Buffets",112 Independence St,Tignall,Wilkes,GA,30668,2.33
Kungfu Catering Operation Inc.,Caterers,14034 Negundo Ave,Flushing,Queens,NY,11355,5.45
"Kuntrygyrl Catering & More, LLC",Caterers,1011 Rver Ridge Dr APT 8b,Augusta,Richmond,GA,30909,1.44
Kuoha Culinary LLC,Caterers,98-281 Kaonohi St APT 3,Aiea,Honolulu,HI,96701,10.86
"Kupcravery Cupcakery & Catering, Llc.",Caterers,1009 Summerwalk Pkwy,Tucker,DeKalb,GA,30084,1.44
"Kurent Cuisine, Inc.",Caterers,92 Meserole St Ste B,Brooklyn,Kings,NY,11206,3.14
Kurth Rathskeller LLC,Mobile Food Services,503 E Churchill St,Stockton,San Joaquin,CA,95204,11.22
Kustom Catering LLC,Caterers,8331 Jaybrook Dr,Converse,Bexar,TX,78109,1.44
Kutty's Catering,Caterers,1213 Spruce St APT 3r,Philadelphia,Philadelphia,PA,19107,1.06
KV Catering LLC,Caterers,2659 Fallsview Rd,San Marcos,San Diego,CA,92078,6.59
"Kvc Hot Potz N Catering, LLC",Caterers,150 Picard St,Dothan,Houston,AL,36301,1.44
Kvr Services LLC,Caterers,4255 State Route 19 S,Belmont,Allegany,NY,14813,4.99
Kwd Snacks LLC,Mobile Food Services,1585 Avon Street EXT,Charlottesville,Charlottesville city,VA,22902,0.49
Kwench,Snack and Nonalcoholic Beverage Bars,428 E Campbell Ave,Campbell,Santa Clara,CA,95008,1.58
"Kwe'zen Kelz Catering, LLC",Caterers,515 Emory Ave,Trenton,Mercer,NJ,08611,4.91
Kwik Preps Catering LLC,Caterers,2300 N Harlem Ave,Elmwood Park,Cook,IL,60707,1.44
KY Mailing Center LLC,Caterers,8 Prag Blvd Unit 304,Monroe,Orange,NY,10950,1.44
Kybra Culinary LLC,Caterers,60 Ne 48th CT,Fort Lauderdale,Broward,FL,33334,1.44
Kyhan Catering,Caterers,46 Deerfield Dr,West Warwick,Kent,RI,02893,1.10
"Kyj, Inc",Caterers,23508 Calabasas Rd,Calabasas,Los Angeles,CA,91302,1.51
Kyler's A+ Catering LLC,Caterers,1396 Forbes St,Fredericksburg,Stafford,VA,22405,9.02
Kyra Collins Carlin Catering LLC,Caterers,58275 Bell St,Plaquemine,Iberville,LA,70764,1.44
Kyras Bake Shop LLC,Mobile Food Services,599 A Ave,Lake Oswego,Clackamas,OR,97034,10.75
Kyrus Chambers,Caterers,3026 Highland Ave,Kansas City,Jackson,MO,64109,0.89
L & A Catering,Caterers,2919 Blue Dawn Dr,Katy,Harris,TX,77449,1.36
L & G Foods,Mobile Food Services,800 E 17th St N,Wichita,Sedgwick,KS,67214,7.34
L & G Realty,Caterers,1129 Valley Rd,Clifton,Passaic,NJ,07013,20.58
"L & J Culinary, Inc.",Caterers,140 W Valley Blvd,San Gabriel,Los Angeles,CA,91776,1.74
"L & J Keller Enterprises, Inc.",Caterers,3807 Mesa Grande St,Bakersfield,Kern,CA,93304,6.07
"L & J Marketing, LLC",Mobile Food Services,11 E Eau Claire St,Rice Lake,Barron,WI,54868,1.25
L & K Catering LLC,Caterers,3925 Dunaire Dr,Stone Mountain,DeKalb,GA,30083,1.32
L & L Catering,Caterers,3801 Center St APT 210,Deer Park,Harris,TX,77536,20.70
L & L Catering LLC,Caterers,635 W Noble St,Lebanon,Boone,IN,46052,6.54
L & L Catering LLP,Caterers,14760 Karly Ln W,Yukon,Canadian,OK,73099,2.92
"L & M Catering, LLC",Caterers,7733 Forsyth Blvd # 1975,Saint Louis,St. Louis,MO,63105,3.84
L & M Caters of Maryland LLC,Caterers,217 Carnation CT,Pikesville,Baltimore,MD,21208,6.47
L & P Concessions,Mobile Food Services,1420 Summit Shores Dr,Burnsville,Dakota,MN,55306,0.86
L & R Custom Catering,Caterers,1005 Fairway Gdns,Hurricane,Putnam,WV,25526,7.78
L & Y Cafeteria Inc.,"Cafeterias, Grill Buffets, and Buffets",11501 Falling Brook Dr,Louisville,Jefferson,KY,40299,5.97
