Name,Naics Code Description,Address,City,County,State,Zip Code,"Excess Food Estimate, Low (tons per year)"
4 Star Catering Inc.,Caterers,517 Cinnamon Dr,Whitesburg,Letcher,KY,41858,3.88
4 Star PC Glatt Kosher,Caterers,11701 Park Ln S APT A6m,Richmond Hill,Queens,NY,11418,8.73
40 Acres Catering LLC,Caterers,16746 Hawks Hill Rd,Hidden Valley Lake,Lake,CA,95467,1.44
"40 Dreams Catering, LLC",Caterers,24 Wetmore Ave,Maplewood,Essex,NJ,07040,17.74
400 Degrees Hot Chicken Food Truck LLC,Mobile Food Services,120 Providence Trl # 4301,Mount Juliet,Wilson,TN,37122,1.63
"401 Catering and Events, LLC",Caterers,230 Buckeye Brook Rd,Charlestown,Washington,RI,02813,1.44
401 Gourmet Inc,Caterers,691 Main St,Warren,Bristol,RI,02885,7.72
"405 On The Beach, LLC",Snack and Nonalcoholic Beverage Bars,16402 S 29th Dr,Phoenix,Maricopa,AZ,85045,1.93
"40-58 Main Street Peabody, LLC",Caterers,40 Main St,Florence,Hampshire,MA,01062,16.69
406 Bistro Coffee and Catering LLP,Caterers,200 Main St,Anaconda,Deer Lodge,MT,59711,3.42
406 Catering Limited Liability Company,Caterers,302 Powder River Ave,Bozeman,Gallatin,MT,59718,1.44
"413 On Wacouta Event Center, LLC",Caterers,413 Wacouta St,Saint Paul,Ramsey,MN,55101,0.96
42 Westchester Holding LLC,Caterers,1 Renaissance Sq,White Plains,Westchester,NY,10601,9.30
420 Catering LLC,Caterers,770 Claughton Island Dr,Miami,Miami-Dade,FL,33131,1.44
422 Smithtown Catering Corp,Caterers,422 Smithtown Blvd,Lake Ronkonkoma,Suffolk,NY,11779,7.45
"425 Downtown, LLC",Caterers,425 W Walnut St,Springfield,Greene,MO,65806,4.21
"43 G.C. Road Caterers, Inc.",Caterers,43 Glen Cove Rd,Greenvale,Nassau,NY,11548,
"4431, Inc.",Caterers,4431 Easton Ave,Bethlehem,Northampton,PA,18020,8.20
45 Street Catering Inc,Caterers,442 W 45th St,New York,New York,NY,10036,2.45
49 Franklin Reception Hall & Theater,Caterers,49 Franklin St,Rumford,Oxford,ME,04276,0.67
49 Square Catering,Caterers,1760 Cesar Chavez,San Francisco,San Francisco,CA,94124,34.50
4917 Adventures LLC,Caterers,4190 Garfield St,Denver,Denver,CO,80216,23.97
4ps In A Pod LLC,Caterers,1930 W Bluemound Rd Ste B,Waukesha,Waukesha,WI,53186,9.93
4sixty6 Restaurant,Caterers,466 Prospect Ave,West Orange,Essex,NJ,07052,2.35
"4starpc Glatt Kosher Caterers, Inc.",Caterers,9 Cuttermill Rd,Great Neck,Nassau,NY,11021,
4th Avenue Coffee,Snack and Nonalcoholic Beverage Bars,125 W 5th Ave,Holdrege,Phelps,NE,68949,5.70
4th Tier Catering and Events,Caterers,15815 Centralia,Redford,Wayne,MI,48239,1.22
"4ucatering, LLC",Caterers,5333 Monticello Dr,Villa Rica,Carroll,GA,30180,2.53
5 Eleven Palafox,Caterers,2181 Magnolia Ave,Pensacola,Escambia,FL,32503,4.28
5 Kids Services,Caterers,1734 W Bell Rd,Phoenix,Maricopa,AZ,85023,
5 Kings Party Rental and Catering LLC,Caterers,438 Wyoming Ave,Buffalo,Erie,NY,14215,1.44
5 Princess Catering,Caterers,8920 91st Ave,Woodhaven,Queens,NY,11421,7.64
5 Senses Events & Catering LLC,Caterers,1185 La Mesa Ave,Winter Springs,Seminole,FL,32708,3.69
5 South Event Center,Caterers,21030 Point Lookout Rd,Callaway,St. Mary's,MD,20620,4.50
5 Star Banquet Hall,Caterers,101 W Glade Rd Ste 102,Euless,Tarrant,TX,76039,0.78
5 Star Catering,Caterers,130 Montero Ct,Aptos,Santa Cruz,CA,95001,2.77
5 Star Catering L.L.C.,Caterers,529 13th Ave,Huntington,Cabell,WV,25701,1.44
5 Star Catering LLC,Caterers,5116 Hill Farm Dr Ne,Woodstock,Cherokee,GA,30188,1.58
5 Star Island and Catering LLC,Caterers,1407 NW 13th Ave,Fort Lauderdale,Broward,FL,33311,1.44
5000 Pies,Caterers,2064 Santa Fe Ave,Long Beach,Los Angeles,CA,90810,16.44
501 Sports Cafe,"Cafeterias, Grill Buffets, and Buffets",1165 Fall Oaks CT,West Linn,Clackamas,OR,97068,3.44
502 East Event Centre,Caterers,502 E Carmel Dr,Carmel,Hamilton,IN,46032,1.52
509 Hazel Street Corp.,Caterers,509 Hazel St,Clifton,Passaic,NJ,07011,9.14
510 Cajun Catering,Caterers,3024 Fruitvale Ave APT 13,Oakland,Alameda,CA,94602,2.48
510 Ocean Drive Catering Group LLC,Caterers,1228 West Ave APT 803,Miami Beach,Miami-Dade,FL,33139,1.44
5100 Lancaster Banquet Hall,Caterers,5100 Lancaster Ave,Philadelphia,Philadelphia,PA,19131,0.97
517 Catering LLC,Caterers,3910 Mar Moor Dr,Lansing,Eaton,MI,48917,1.44
52 Pier Restaurants Inc,"Cafeterias, Grill Buffets, and Buffets",52 Pier Ave,Hermosa Beach,Los Angeles,CA,90254,48.11
520 Rutherford LLC,Caterers,14 McHan St,Greenville,Greenville,SC,29605,0.96
5280 Bistro LLC,Caterers,12703 Pinetop Way,Noblesville,Hamilton,IN,46060,1.69
5280 Culinary,Caterers,8965 Copeland St,Littleton,Douglas,CO,80126,13.02
533 Apache Cafeteria,"Cafeterias, Grill Buffets, and Buffets",5000 E McDowell Rd,Mesa,Maricopa,AZ,85215,10.38
55 Cafe,"Cafeterias, Grill Buffets, and Buffets",55 Douglas Pike Ste 103,Smithfield,Providence,RI,02917,6.85
55 South Beverage Catering LLC,Caterers,3223 Pentland CT,San Jose,Santa Clara,CA,95148,1.74
