prepared_predicted,prediction_level,per_month,Naics_orig,State_orig,excess_low_lbs_orig,excess_high_lbs_orig,Name,Naics,Address,City,County,State,zip
13922,High,1160,Full-Service Restaurants,KS,5069,5069,Big Ds Burger Shack LLC,Full-Service Restaurants,2024 Tuttle Creek Blvd,Manhattan,Riley,KS,66502
13922,In-Range,1160,Full-Service Restaurants,KS,6600,16960,Big Foot Freddys Diner,Full-Service Restaurants,1301 18th St,Belleville,Republic,KS,66935
2921,In-Range,243,Caterers,KS,2879,16960,Big Gray Smoke Bbq and Catering LLC,Caterers,2120 S Upland Hills St,Wichita,Sedgwick,KS,67235
13922,High,1160,Full-Service Restaurants,KS,1593,3392,Big Grill & More,Full-Service Restaurants,3111 N 43rd St,Kansas City,Wyandotte,KS,66104
13922,High,1160,Full-Service Restaurants,KS,2581,6784,Big Gs,Full-Service Restaurants,100 S McGee St,Caney,Montgomery,KS,67333
60617,High,5051,Limited-Service Restaurants,KS,14256,42000,Big G'S LLC,Limited-Service Restaurants,262 Road 30,Niotaze,Chautauqua,KS,67355
60617,High,5051,Limited-Service Restaurants,KS,10298,33000,Big G'Z Express & Deli,Limited-Service Restaurants,775 Evergreen Rd,Tescott,Ottawa,KS,67484
60617,High,5051,Limited-Service Restaurants,KS,11146,18000,Big J'S Fried Chicken Corp,Limited-Service Restaurants,12920 Metcalf Ave Ste 130,Overland Park,Johnson,KS,66213
60617,High,5051,Limited-Service Restaurants,KS,30277,57000,Big Larry's Burgers,Limited-Service Restaurants,328 S Meridian Ave,Valley Center,Sedgwick,KS,67147
13922,High,1160,Full-Service Restaurants,KS,2124,2124,Big Mac Concessions,Full-Service Restaurants,3036 SE 6th Ave,Topeka,Shawnee,KS,66607
13922,In-Range,1160,Full-Service Restaurants,KS,13003,135680,Big Mill LLC,Full-Service Restaurants,900 Mississippi St,Lawrence,Douglas,KS,66044
60617,High,5051,Limited-Service Restaurants,KS,2740,2740,Big Prairie Bird Dogs,Limited-Service Restaurants,01506 E US Highway 50,Pierceville,Finney,KS,67868
60617,High,5051,Limited-Service Restaurants,KS,2879,15000,Bigger Bullets LLC,Limited-Service Restaurants,5652 SW 35th St,Topeka,Shawnee,KS,66614
13922,In-Range,1160,Full-Service Restaurants,KS,2879,23744,Bigleys Bbq,Full-Service Restaurants,3232 S Clifton Ave # 520,Wichita,Sedgwick,KS,67216
