year,sector,sub_sector,sub_sector_category,food_type,tons_surplus,tons_supply,us_dollars_surplus,tons_waste,tons_uneaten,tons_not_fit_for_human_consumption,tons_inedible_parts,tons_donations,tons_industrial_uses,tons_animal_feed,tons_anaerobic_digestion,tons_composting,tons_not_harvested,tons_incineration,tons_land_application,tons_landfill,tons_sewer,tons_dumping,surplus_upstream_100_year_mtco2e_footprint,surplus_downstream_100_year_mtco2e_footprint,surplus_total_100_year_mtco2e_footprint,surplus_upstream_100_year_mtch4_footprint,surplus_downstream_100_year_mtch4_footprint,surplus_total_100_year_mtch4_footprint,gallons_water_footprint,meals_wasted
2022,Foodservice,Colleges & Universities,Colleges/Universities,Produce,6896.428672,382371.3325,24444494.61,6698.429914,6722.386544,5805.807344,5316.731448,174.0421284,0,23.95662992,0.968822914,905.6837031,0,675.8052741,0,5094.377484,21.59463049,0,15124.80081,1283.671284,16408.4721,34.852491,56.99971041,91.8522014,308393290.5,11203977.57
2022,Foodservice,Colleges & Universities,Colleges/Universities,Ready-To-Drink Beverages,4506.377195,249855.3287,4223168.35,4376.997609,4392.651742,0,0,113.7254535,0,15.65413287,0.633064111,591.8066553,0,441.5957331,0,3328.85144,14.11071657,0,22202.03225,2496.656355,24698.6886,118.6770375,122.9263632,241.6034008,120212199.8,7321086.237
2022,Foodservice,Corrections,Corrections,Breads & Bakery,861.4807824,47764.65767,3728705.152,838.2446605,840.9579463,449.1997504,136.1408131,20.52283605,0,2.713285819,0.127244743,102.3990963,0,79.80736803,0,653.4732397,2.437711763,0,1552.779169,663.8053808,2216.58455,4.445556358,32.86479079,37.31034715,16497000.16,1401596.577
2022,Foodservice,Corrections,Corrections,Dairy & Eggs,1287.153001,71365.98251,4960303.736,1252.435518,1256.489484,679.7399383,132.8471189,30.6635163,0,4.053966212,0.190118522,152.9962209,0,119.2415378,0,976.3654147,3.642226356,0,5495.453579,384.2451904,5879.698769,71.77871298,18.26897289,90.04768587,364802514,2094149.141
2022,Foodservice,Corrections,Corrections,Dry Goods,2830.460637,156934.4159,9626092.11,2754.116592,2763.031299,1242.075069,326.4577423,67.42933888,0,8.91470694,0.418072282,336.4400197,0,262.2131781,0,2147.036034,8.009287418,0,7663.665361,1437.189075,9100.854437,24.9252971,70.67323479,95.59853189,347135780.4,4605052.164
2022,Foodservice,Corrections,Corrections,Fresh Meat & Seafood,2201.081268,122038.5822,18054247.77,2141.713034,2148.645473,1493.478475,1028.433727,52.43579535,0,6.932438556,0.325110004,261.6294377,0,203.9076279,0,1669.622511,6.228347525,0,32753.82243,1143.470845,33897.29327,393.6756853,56.01886733,449.6945527,2565288617,3581075.788
2022,Foodservice,Corrections,Corrections,Frozen,130.0512523,7210.669897,385789.2525,126.5434703,126.9530746,0,0,3.098177677,0,0.409604283,0.019209179,15.45841878,0,12.04791606,0,98.64992336,0.368002948,0,513.0217123,60.12985798,573.1515703,6.832357059,2.947033043,9.779390102,43797953.54,211588.4577
2022,Foodservice,Corrections,Corrections,Prepared Foods,86741.5552,0,636647159.5,86114.53596,86172.57498,0,3050.263362,568.9802205,0,58.0390195,2.015482579,8638.648988,0,8726.278324,0,68699.43806,48.15510093,0,389356.4043,37130.41892,426486.8232,3391.260359,1788.165921,5179.42628,41062205450,143620958.3
2022,Foodservice,Corrections,Corrections,Produce,1789.973424,99244.77664,6344587.582,1741.693716,1747.331345,1506.90181,1379.961781,42.64207846,0,5.637629541,0.264387451,212.7634937,0,165.8226982,0,1357.778091,5.065045397,0,3929.585967,339.5687149,4269.154682,9.05537554,15.13180512,24.18718067,80101024.94,2912218.909
2022,Foodservice,Corrections,Corrections,Ready-To-Drink Beverages,1169.633705,64850.14483,1096126.629,1138.085988,1141.769821,0,0,27.8638842,0,3.683832083,0.172760372,139.0274012,0,108.3545791,0,887.2215631,3.309684788,0,5768.593006,665.8916863,6434.484692,30.83519145,32.64474128,63.47993273,31223508.13,1902949.701
2022,Foodservice,Full Service Restaurants,All Other,Breads & Bakery,1800.839293,112547.2636,9508827.618,1765.0042,1768.299955,495.7978262,260.9474207,32.53933794,0,3.295754715,0.318927361,122.720163,0,199.7378877,0,1439.341809,2.885413072,0,3259.901049,1470.936112,4730.837161,9.332990889,71.49771334,80.83070423,34585732.65,2947166.591
2022,Foodservice,Full Service Restaurants,All Other,Dairy & Eggs,627.9433652,39244.64984,3451259.736,615.4478534,616.5970661,77.78249741,13.54959648,11.34629917,0,1.149212656,0.111208325,42.79188736,0,69.64757039,0,501.8910587,1.006128643,0,2692.461758,199.9018602,2892.363619,35.16827885,9.277789694,44.44606855,178488714.8,1027661.777
2022,Foodservice,Full Service Restaurants,All Other,Dry Goods,2920.5092,182523.4046,9741498.284,2862.393677,2867.738564,1412.78357,65.12090294,52.77063657,0,5.344886691,0.517220108,199.0212934,0,323.9247062,0,2334.251042,4.679415569,0,7940.319198,1573.581522,9513.90072,25.82727618,75.89329269,101.7205689,359222455,4779564.273
