Name,Naics,Address,City,County,State,zip,excess_low_lbs,excess_high_lbs,UniqueID,prepared
Genesh Inc.,Limited-Service Restaurants,302 Hedge Ln,Paola,Miami,KS,66071,67338,81000,RFS367319,0
Genesh Inc.,Limited-Service Restaurants,3929 10th St,Great Bend,Barton,KS,67530,44892,54000,RFS384481,0
Genesh Inc.,Limited-Service Restaurants,4220 E Harry St,Wichita,Sedgwick,KS,67218,2494,3000,RFS390689,0
Genesh Inc.,Limited-Service Restaurants,528 N Oliver Ave,Wichita,Sedgwick,KS,67208,67338,81000,RFS405465,0
Genesh Inc.,Limited-Service Restaurants,740 N Tyler Rd,Wichita,Sedgwick,KS,67212,29928,36000,RFS428385,0
Genova Italiana Restaurant,Full-Service Restaurants,1021 Washington Rd # 300,Newton,Harvey,KS,67114,4542,30528,RFS33277,0
Genovese Italian Restaurant,Full-Service Restaurants,941 Massachusetts St,Lawrence,Douglas,KS,66044,30792,30792,RFS278039,0
George Barnes,Limited-Service Restaurants,8276 Mission Rd,Shawnee Mission,Johnson,KS,66208,130040,130040,RFS436462,0
George R Emery,Limited-Service Restaurants,2053 SW Western Ave,Topeka,Shawnee,KS,66604,10076,10076,RFS340849,0
Georges French Bistro,Full-Service Restaurants,4618 E Central Ave Ste 50,Wichita,Sedgwick,KS,67208,6987,30528,RFS201296,0
Georgie Porgies Cafe LLC,Full-Service Restaurants,14856 Metcalf Ave,Overland Park,Johnson,KS,66223,66240,81408,RFS78763,0
Geos Pizza Pasta and Deli,Limited-Service Restaurants,9220 Metcalf Ave,Overland Park,Johnson,KS,66212,32422,39000,RFS443792,0
Gerig Inc,Limited-Service Restaurants,7530 State Ave,Kansas City,Wyandotte,KS,66112,66000,180000,RFS429622,0
Get Sauced LLC,Full-Service Restaurants,802 N Ridge Rd,Wichita,Sedgwick,KS,67212,11007,11007,RFS260153,0
Gg's Barbacoa Cafe Inc,Full-Service Restaurants,210 S 7th St,Kansas City,Wyandotte,KS,66101,16994,30528,RFS116851,0
Gigi's Cafe LLC,Full-Service Restaurants,814 Washington St,Ellis,Ellis,KS,67637,2879,2879,RFS262259,0
Gilbertson Restaurants L.L.C.,Limited-Service Restaurants,10720 Parallel Pkwy,Kansas City,Wyandotte,KS,66109,17458,21000,RFS292424,0
Ginger Asian Cuisine LLC,Full-Service Restaurants,19894 W Kellogg Dr Unit D,Goddard,Sedgwick,KS,67052,15935,33920,RFS108142,0
Ginger Sue's,Full-Service Restaurants,14178 W 119th St,Olathe,Johnson,KS,66062,5167,27136,RFS74377,0
Ginger Sushi LLC,Full-Service Restaurants,1420 W Lydia St,Wichita,Sedgwick,KS,67213,12748,27136,RFS74721,0
Girn Consolidated LLC,Limited-Service Restaurants,7521 W 119th St,Overland Park,Johnson,KS,66213,37410,45000,RFS429563,0
