Year,Naics,State,prepared,excess_high_lbs,excess_low_lbs
2019,Caterers,SD,402,1156214,452682
2019,Caterers,TN,6048,12730781,6248932
2019,Caterers,TX,27775,54049016,20184856
2019,Caterers,UT,4490,3916346,1860778
2019,Caterers,VA,9806,20405160,7250538
2019,Caterers,VT,14041,1039430,516972
2019,Caterers,WA,135383,9596357,4942706
2019,Caterers,WI,8269,7350705,2832271
2019,Caterers,WV,360,2471718,1304877
2019,Caterers,WY,495,364202,194408
2019,Full-Service Restaurants,AK,8962,17524658,7930288
2019,Full-Service Restaurants,AL,167957,114919066,55257916
2019,Full-Service Restaurants,AR,88249,57327297,27368723
2019,Full-Service Restaurants,AZ,227835,231204016,110959477
2019,Full-Service Restaurants,CA,4533502,1491779280,794580236
2019,Full-Service Restaurants,CO,200128,195507751,103100674
2019,Full-Service Restaurants,CT,385729,120343956,60474007
2019,Full-Service Restaurants,DE,33495,31002852,15679448
2019,Full-Service Restaurants,FL,920630,1091889938,545086763
2019,Full-Service Restaurants,GA,401701,328385069,161709183
2019,Full-Service Restaurants,HI,37358,47021028,26033493
2019,Full-Service Restaurants,IA,66823,72193464,33206640
2019,Full-Service Restaurants,ID,35787,44499435,22406502
2019,Full-Service Restaurants,IL,338040,457530753,172110037
2019,Full-Service Restaurants,IN,209807,179232020,92210621
2019,Full-Service Restaurants,KS,88303,69447305,31150086
2019,Full-Service Restaurants,KY,165752,124588267,52728895
2019,Full-Service Restaurants,LA,102987,141610876,70263704
2019,Full-Service Restaurants,MA,956617,225664512,128226200
2019,Full-Service Restaurants,MD,927004,180724719,100684668
2019,Full-Service Restaurants,ME,26425,32779303,17802552
2019,Full-Service Restaurants,MI,229994,221672537,108875859
2019,Full-Service Restaurants,MN,128116,230070334,82800974
2019,Full-Service Restaurants,MO,185621,144680428,72769743
2019,Full-Service Restaurants,MS,73983,63254949,29759780
2019,Full-Service Restaurants,MT,23206,26322278,13536977
2019,Full-Service Restaurants,NC,316074,308233980,139881415
2019,Full-Service Restaurants,ND,27813,16562681,8094718
2019,Full-Service Restaurants,NE,48443,45284162,21322996
2019,Full-Service Restaurants,NH,41791,36300358,17670294
2019,Full-Service Restaurants,NJ,1069748,270200753,137190094
2019,Full-Service Restaurants,NM,64617,64272620,34369453
2019,Full-Service Restaurants,NV,109978,88667002,47630073
2019,Full-Service Restaurants,NY,1600773,655536002,349778872
2019,Full-Service Restaurants,OH,416851,316165971,160219719
2019,Full-Service Restaurants,OK,146560,97897029,47456845
2019,Full-Service Restaurants,OR,323197,173535138,93281339
2019,Full-Service Restaurants,PA,344492,369538808,175983154
2019,Full-Service Restaurants,RI,109994,34542472,17218048
2019,Full-Service Restaurants,SC,171474,124779354,62916254
2019,Full-Service Restaurants,SD,22208,16340541,7779017
2019,Full-Service Restaurants,TN,266572,318089549,113920222
2019,Full-Service Restaurants,TX,1105431,1153776264,513530393
2019,Full-Service Restaurants,UT,68248,86530475,38043804
2019,Full-Service Restaurants,VA,342512,268595552,134843876
2019,Full-Service Restaurants,VT,29942,17667590,9395988
2019,Full-Service Restaurants,WA,599703,221033286,116212675
2019,Full-Service Restaurants,WI,116102,117398429,56128875
2019,Full-Service Restaurants,WV,54677,52871567,17889779
2019,Full-Service Restaurants,WY,10355,15183837,7406158
2019,Limited-Service Restaurants,AK,18851,11949592,6517993
2019,Limited-Service Restaurants,AL,234897,68275350,36112020
2019,Limited-Service Restaurants,AR,139402,64188845,27523714
2019,Limited-Service Restaurants,AZ,301982,129204389,77116682
2019,Limited-Service Restaurants,CA,7788824,841419089,412710218
2019,Limited-Service Restaurants,CO,244982,115568791,69189279
2019,Limited-Service Restaurants,CT,646158,71518381,38602401
2019,Limited-Service Restaurants,DE,33630,17085134,9295208
2019,Limited-Service Restaurants,FL,836750,659724522,346510369
2019,Limited-Service Restaurants,GA,485333,220508063,113119206
2019,Limited-Service Restaurants,HI,46917,27317273,12762887
2019,Limited-Service Restaurants,IA,121343,61302257,31983670
2019,Limited-Service Restaurants,ID,65430,30553843,15462218
2019,Limited-Service Restaurants,IL,514309,1019693945,137528561
2019,Limited-Service Restaurants,IN,286027,127757481,65285165
2019,Limited-Service Restaurants,KS,136781,155340632,125560696
2019,Limited-Service Restaurants,KY,211232,116021801,48433295
2019,Limited-Service Restaurants,LA,196137,93794679,50757942
2019,Limited-Service Restaurants,MA,1215022,111658997,60588217
2019,Limited-Service Restaurants,MD,1169862,123324899,68211774
2019,Limited-Service Restaurants,ME,39422,17600846,10398674
2019,Limited-Service Restaurants,MI,399863,209633634,99158214
2019,Limited-Service Restaurants,MN,194940,123854824,67336992
2019,Limited-Service Restaurants,MO,266600,125838772,73602367
2019,Limited-Service Restaurants,MS,134648,52086715,25190488
2019,Limited-Service Restaurants,MT,34636,18198863,8984717
2019,Limited-Service Restaurants,NC,465172,240036172,99422842
2019,Limited-Service Restaurants,ND,28502,17362927,7698267
2019,Limited-Service Restaurants,NE,89618,45508553,20081541
2019,Limited-Service Restaurants,NH,46036,16838526,9470438
2019,Limited-Service Restaurants,NJ,1389506,178120780,103127183
2019,Limited-Service Restaurants,NM,81651,37040193,17227169
2019,Limited-Service Restaurants,NV,145895,51044477,30389549
2019,Limited-Service Restaurants,NY,2788936,443734960,219238864
2019,Limited-Service Restaurants,OH,507203,238278559,133884713
2019,Limited-Service Restaurants,OK,192579,76915488,34090230
2019,Limited-Service Restaurants,OR,823138,93847066,54930083
2019,Limited-Service Restaurants,PA,390987,246147491,121440108
2019,Limited-Service Restaurants,RI,197844,19343948,11134534
2019,Limited-Service Restaurants,SC,227982,91339143,45037153
2019,Limited-Service Restaurants,SD,36233,21025273,12699489
2019,Limited-Service Restaurants,TN,327567,163324404,74232365
2019,Limited-Service Restaurants,TX,1313625,623814993,332151523
2019,Limited-Service Restaurants,UT,126365,58875500,29096476
2019,Limited-Service Restaurants,VA,366908,145230389,82783748
2019,Limited-Service Restaurants,VT,72419,9242999,5438619
2019,Limited-Service Restaurants,WA,1329068,141331042,77433146
2019,Limited-Service Restaurants,WI,196899,110993606,55006410
2019,Limited-Service Restaurants,WV,75007,25949914,14071677
2019,Limited-Service Restaurants,WY,25442,7573466,4216005
2020,Caterers,AK,97,764348,298453
2020,Caterers,AL,901,5080187,2268033
2020,Caterers,AR,622,2369076,1060134
2020,Caterers,AZ,2124,11087986,4290133
2020,Caterers,CA,2644914,88978698,46515199
2020,Caterers,CO,2349,11389335,5244687
2020,Caterers,CT,308724,10472682,5134245
2020,Caterers,DE,184,1756967,632715
2020,Caterers,FL,8147,66639819,28071934
2020,Caterers,GA,4187,25295019,8775003
2020,Caterers,HI,835,4599795,2778078
2020,Caterers,IA,620,5565514,1740769
2020,Caterers,ID,389,1465648,550027
2020,Caterers,IL,8656,28176421,14767870
2020,Caterers,IN,3157,9785798,3999187
2020,Caterers,KS,767,3440670,1672872
2020,Caterers,KY,1395,19739785,4556551
2020,Caterers,LA,2340,18655108,7460052
2020,Caterers,MA,727975,14555882,7964528
2020,Caterers,MD,557254,15485158,7090650
2020,Caterers,ME,413,1213492,585631
2020,Caterers,MI,6322,15610805,6566685
2020,Caterers,MN,2535,10303788,4284078
2020,Caterers,MO,3139,10763513,4431143
2020,Caterers,MS,412,4026153,1918372
2020,Caterers,MT,268,1499369,629829
2020,Caterers,NC,3204,17922135,7809060
2020,Caterers,ND,119,1541410,506087
2020,Caterers,NE,745,2955462,1354155
2020,Caterers,NH,653,1988879,851516
2020,Caterers,NJ,915265,27371777,13621748
2020,Caterers,NM,223,2590668,991919
2020,Caterers,NV,747,5743028,3895677
2020,Caterers,NY,1776209,47169378,24306582
2020,Caterers,OH,5773,18088788,8714725
2020,Caterers,OK,1534,4937381,1552484
2020,Caterers,OR,212877,7264647,3465731
2020,Caterers,PA,5531,27309995,11558788
2020,Caterers,RI,98783,2288991,1074809
2020,Caterers,SC,2472,6323908,2793712
2020,Caterers,SD,146,1156214,452682
2020,Caterers,TN,2234,12730781,6248932
2020,Caterers,TX,10475,54049016,20184856
2020,Caterers,UT,1671,3916346,1860778
2020,Caterers,VA,2832,20405160,7250538
2020,Caterers,VT,36913,1039430,516972
2020,Caterers,WA,471684,9596357,4942706
2020,Caterers,WI,2557,7350705,2832271
2020,Caterers,WV,119,2471718,1304877
2020,Caterers,WY,163,364202,194408
2020,Full-Service Restaurants,AK,5385,17524658,7930288
2020,Full-Service Restaurants,AL,98029,114919066,55257916
2020,Full-Service Restaurants,AR,52537,57327297,27368723
2020,Full-Service Restaurants,AZ,136386,231204016,110959477
2020,Full-Service Restaurants,CA,5469200,1491779280,794580236
2020,Full-Service Restaurants,CO,119405,195507751,103100674
2020,Full-Service Restaurants,CT,463292,120343956,60474007
2020,Full-Service Restaurants,DE,19479,31002852,15679448
2020,Full-Service Restaurants,FL,543544,1091889938,545086763
2020,Full-Service Restaurants,GA,234874,328385069,161709183
2020,Full-Service Restaurants,HI,22760,47021028,26033493
2020,Full-Service Restaurants,IA,39691,72193464,33206640
2020,Full-Service Restaurants,ID,20945,44499435,22406502
2020,Full-Service Restaurants,IL,203652,457530753,172110037
2020,Full-Service Restaurants,IN,123239,179232020,92210621
2020,Full-Service Restaurants,KS,52820,69447305,31150086
2020,Full-Service Restaurants,KY,98526,124588267,52728895
2020,Full-Service Restaurants,LA,60021,141610876,70263704
2020,Full-Service Restaurants,MA,1152559,225664512,128226200
2020,Full-Service Restaurants,MD,1128522,180724719,100684668
2020,Full-Service Restaurants,ME,15851,32779303,17802552
2020,Full-Service Restaurants,MI,135808,221672537,108875859
2020,Full-Service Restaurants,MN,75259,230070334,82800974
2020,Full-Service Restaurants,MO,109498,144680428,72769743
2020,Full-Service Restaurants,MS,42751,63254949,29759780
2020,Full-Service Restaurants,MT,13758,26322278,13536977
2020,Full-Service Restaurants,NC,187471,308233980,139881415
2020,Full-Service Restaurants,ND,16579,16562681,8094718
2020,Full-Service Restaurants,NE,28717,45284162,21322996
2020,Full-Service Restaurants,NH,25160,36300358,17670294
2020,Full-Service Restaurants,NJ,1284528,270200753,137190094
2020,Full-Service Restaurants,NM,38286,64272620,34369453
2020,Full-Service Restaurants,NV,65699,88667002,47630073
2020,Full-Service Restaurants,NY,1920827,655536002,349778872
2020,Full-Service Restaurants,OH,246416,316165971,160219719
2020,Full-Service Restaurants,OK,86417,97897029,47456845
2020,Full-Service Restaurants,OR,380338,173535138,93281339
2020,Full-Service Restaurants,PA,203083,369538808,175983154
2020,Full-Service Restaurants,RI,131628,34542472,17218048
2020,Full-Service Restaurants,SC,100231,124779354,62916254
2020,Full-Service Restaurants,SD,13156,16340541,7779017
2020,Full-Service Restaurants,TN,157154,318089549,113920222
2020,Full-Service Restaurants,TX,669015,1153776264,513530393
2020,Full-Service Restaurants,UT,40399,86530475,38043804
2020,Full-Service Restaurants,VA,205751,268595552,134843876
2020,Full-Service Restaurants,VT,36073,17667590,9395988
2020,Full-Service Restaurants,WA,711285,221033286,116212675
2020,Full-Service Restaurants,WI,68576,117398429,56128875
2020,Full-Service Restaurants,WV,32259,52871567,17889779
2020,Full-Service Restaurants,WY,6028,15183837,7406158
2020,Limited-Service Restaurants,AK,15838,11949592,6517993
2020,Limited-Service Restaurants,AL,202560,68275350,36112020
2020,Limited-Service Restaurants,AR,119956,64188845,27523714
2020,Limited-Service Restaurants,AZ,255940,129204389,77116682
2020,Limited-Service Restaurants,CA,19461893,841419089,412710218
2020,Limited-Service Restaurants,CO,205934,115568791,69189279
2020,Limited-Service Restaurants,CT,1561679,71518381,38602401
2020,Limited-Service Restaurants,DE,28275,17085134,9295208
2020,Limited-Service Restaurants,FL,709279,659724522,346510369
2020,Limited-Service Restaurants,GA,415303,220508063,113119206
2020,Limited-Service Restaurants,HI,38823,27317273,12762887
