Year,Naics,State,bread,dairy,dry,meat,prepared,produce,excess_high_lbs,excess_low_lbs,excess_fac_cnt
2018,Limited-Service Restaurants,IA,11029,24119,22487,17020,108892,12511,61302257,31983670,1472
2018,Limited-Service Restaurants,ID,5729,14135,11555,8640,58667,6171,30553843,15462218,981
2018,Limited-Service Restaurants,IL,45645,112939,81591,64827,459752,48221,1019693945,137528561,5791
2018,Limited-Service Restaurants,IN,26941,60512,48161,39140,256542,27990,127757481,65285165,3165
2018,Limited-Service Restaurants,KS,12182,30302,23820,17821,122885,12671,155340632,125560696,1260
2018,Limited-Service Restaurants,KY,19896,45789,35490,28463,189537,20070,116021801,48433295,1994
2018,Limited-Service Restaurants,LA,18938,43408,30398,26199,175224,17874,93794679,50757942,2101
2018,Limited-Service Restaurants,MA,25049,90924,50436,30798,5975884,25374,111658997,60588217,3214
2018,Limited-Service Restaurants,MD,28198,73646,54852,39813,5851056,29802,123324899,68211774,2869
2018,Limited-Service Restaurants,ME,3177,9664,5680,4111,35116,3226,17600846,10398674,463
2018,Limited-Service Restaurants,MI,35363,84405,69812,53111,358396,39262,209633634,99158214,4519
2018,Limited-Service Restaurants,MN,16938,40711,34382,25469,174808,19287,123854824,67336992,2572
2018,Limited-Service Restaurants,MO,24530,56710,46261,36344,239073,25631,125838772,73602367,2622
2018,Limited-Service Restaurants,MS,13002,28335,22034,18799,120353,12880,52086715,25190488,1097
2018,Limited-Service Restaurants,MT,3121,6802,6721,4918,31134,3560,18198863,8984717,519
2018,Limited-Service Restaurants,NC,43258,99926,74562,60101,414204,43064,240036172,99422842,4747
2018,Limited-Service Restaurants,ND,2567,5617,5490,3898,25578,2898,17362927,7698267,356
2018,Limited-Service Restaurants,NE,8070,19469,15256,11434,80408,8710,45508553,20081541,855
2018,Limited-Service Restaurants,NH,3530,11540,6750,4561,40964,3604,16838526,9470438,546
2018,Limited-Service Restaurants,NJ,30571,99056,58887,38677,6847041,29772,178120780,103127183,5291
2018,Limited-Service Restaurants,NM,7551,17588,13430,10995,73091,7710,37040193,17227169,889
2018,Limited-Service Restaurants,NV,12619,32962,24172,18048,130297,12806,51044477,30389549,1266
2018,Limited-Service Restaurants,NY,62218,200456,114947,77210,13763253,61146,443734960,219238864,14597
2018,Limited-Service Restaurants,OH,46611,110959,86586,66128,454997,48130,238278559,133884713,5574
2018,Limited-Service Restaurants,OK,17683,41797,33633,25885,172958,18145,76915488,34090230,1745
2018,Limited-Service Restaurants,OR,18891,53345,39484,26952,4103616,20350,93847066,54930083,2517
2018,Limited-Service Restaurants,PA,32862,92357,63059,44946,350621,33916,246147491,121440108,7562
2018,Limited-Service Restaurants,RI,4305,14182,8364,5445,974500,4384,19343948,11134534,559
2018,Limited-Service Restaurants,SC,21582,49437,35403,29615,202830,20728,91339143,45037153,2150
2018,Limited-Service Restaurants,SD,3189,6948,7369,5027,32522,3778,21025273,12699489,388
