State	Zipcode	facility_count	Excess_Food_High_Tons	Excess_Food_Low_Tons	foodbanks	FoodBank_recd_TonYear
TX	75572	4	60.136	15.811455		
TX	75573	1	18	9.555645		
TX	75574	2	25.372	3.6704415		
TX	75601	35	671.832915	409.254504		
TX	75602	23	2092.064586	1618.028576		
TX	75603	5	78.988	43.8733005		
TX	75604	25	318.3033005	177.3104645		
TX	75605	65	3332.487971	2228.786521		
TX	75606	4	126.068	95.9669175		
TX	75608	1	10.5	5.5998855		
TX	75633	14	162.062842	71.9577465		
TX	75638	8	90.3048915	35.231196		
TX	75639	4	64.448	20.863194		
TX	75640	1	23.744	9.639036		
TX	75643	1	15.264	6.7073985		
TX	75644	11	146.179058	90.095325		
TX	75645	2	30.656	9.9759495		
TX	75647	12	187.278569	80.835486		
TX	75650	8	196.0179445	111.7846245		
TX	75651	1	6.784	1.368774		
TX	75652	14	217.6834555	87.759816		
TX	75653	1	13.568	3.044349		
TX	75654	18	301.6191865	143.7938295		
TX	75656	9	331.624478	90.062403		
TX	75657	18	254.300787	122.444318		
TX	75661	5	54.272	8.2455285		
TX	75662	36	641.346455	375.953847		
TX	75670	20	1255.480192	952.332225		
TX	75672	19	377.248956	237.1565425		
TX	75681	2	25.96	9.1087755		
TX	75683	3	45.792	13.13697		
TX	75684	5	82.576	41.7174165		
TX	75686	12	177.032	61.647564		
TX	75691	5	46.986524	25.4036145		
TX	75692	7	110.616	63.541899		
TX	75693	8	61.606306	30.505634		
TX	75701	66	1737.940736	1029.310132	1	
TX	75702	43	763.7008375	342.019993		
TX	75703	99	3030.66712	2065.942343		
TX	75704	5	49.704	10.266428		
TX	75706	8	285.526638	189.9851595		
TX	75707	17	593.431328	239.707385		
TX	75708	11	215.160542	173.8636565		
TX	75709	2	15.068	7.7254775		
TX	75713	1	34.5	28.681		
TX	75750	1	11.872	1.4395095		
TX	75751	38	944.713535	357.807319		
TX	75752	4	34.547	9.5070525		
TX	75754	3	67.0288095	39.919077		
TX	75755	2	44.096	15.7603875		
TX	75756	4	49.28351	24.1665435		
TX	75757	7	98.8154655	43.4168295		
TX	75758	2	33.46	11.5276095		
TX	75760	1	13.2858495	8.729		
TX	75762	15	209.882268	76.017773		
TX	75763	4	63.596	32.711762		
TX	75765	8	123.868	36.667455		
TX	75766	27	390.9279755	167.664514		
TX	75771	22	468.46856	315.858144		
TX	75773	13	142.267584	87.2262105		
TX	75778	5	67.184	21.6317805		
TX	75783	4	51.341362	19.325126		
TX	75785	11	253.78	164.4584165		
TX	75789	5	94.516	40.7230065		
TX	75790	9	207.893463	99.928953		
TX	75791	14	226.7678205	114.4943475		
TX	75792	1	3.9708735	3.9708735		
TX	75799	1	9.0501345	9.0501345		
TX	75801	30	505.727754	268.6429885		
TX	75803	8	133.584	72.17871		
TX	75831	10	144.9250165	50.381278		
TX	75833	1	59.436531	59.436531		
TX	75835	9	175.652	79.8487165		
TX	75840	17	224.3310615	142.7213955		
TX	75844	4	79.056	33.5714445		
TX	75846	1	6.784	1.3028895		
TX	75853	1	5.088	1.2147465		
TX	75859	1	18.656	8.2973055		
TX	75860	7	117.477945	75.691061		
TX	75861	2	34.372	13.439646		
TX	75862	6	134.017994	88.6669135		
TX	75901	42	1259.429934	724.8576925		
TX	75904	31	544.003494	286.0202435		
TX	75925	2	40.704	18.063375		
TX	75926	1	11.872	1.4395095		
TX	75928	1	15.264	9.2949945		
TX	75930	2	35.616	9.038172		
TX	75931	2	27.46	8.954451		
TX	75933	1	8.48	1.8319455		
TX	75935	24	386.4036625	196.7478345		
TX	75937	1	1.9684005	1.9684005		
TX	75938	1	1.4395095	1.4395095		
TX	75939	4	50.548	27.004164		
TX	75941	4	40.744394	16.7836185		
TX	75944	1	1.4395095	1.4395095		
TX	75948	6	86.164	24.43023		
TX	75951	24	499.8304185	270.364157		
TX	75954	3	57.0146315	38.958087		
TX	75956	2	30.528	10.5076125		
TX	75959	1	2.455464	2.455464		
TX	75960	1	10.176	2.311221		
TX	75961	11	268.269275	178.9256595		
TX	75964	20	377.2655705	207.710168		
TX	75965	18	585.412723	185.180834		
TX	75966	2	21.1669945	10.734504		
TX	75968	1	20.352	6.1535265		
TX	75969	2	37.568	26.573615		
TX	75972	7	105.6535	56.2042485		
TX	75973	2	30.528	11.2014045		
TX	75974	3	15.924	3.2819325		
TX	75979	10	256.6478755	172.3177735		
TX	76001	32	422.913182	226.210162		
TX	76002	24	281.810843	138.198587		
TX	76006	26	1746.768634	1323.378853		
TX	76008	17	193.5995475	94.3976385		
TX	76009	20	238.8173045	102.8865315		
TX	76010	89	1327.251958	725.412653		
TX	76011	58	1532.593979	893.673514		
TX	76012	26	341.6400445	154.926165		
TX	76013	53	719.5722025	397.7294225		
TX	76014	16	209.10435	117.4945835		
TX	76015	35	609.342942	353.6266675		
TX	76016	50	699.8305355	391.7582415		
TX	76017	73	2398.840585	1454.411446		
TX	76018	63	2226.12776	1640.077821		
TX	76020	30	596.859892	290.191743		
TX	76021	54	729.842317	354.9789065		
TX	76022	15	370.7147865	224.361414		
TX	76023	11	155.603894	71.4036015		
TX	76028	96	1575.527124	832.023054		
TX	76031	8	85.84748	27.1212315		
TX	76033	52	1026.535202	471.8157775		
TX	76034	66	1252.393063	540.983012		
TX	76035	3	45.724	19.401888		
TX	76036	19	251.972	124.1889375		
TX	76039	46	725.73256	335.1261495		
TX	76040	25	399.4295295	225.0690615		
TX	76043	12	226.621228	86.9450505		
TX	76044	4	41.942145	26.537808		
TX	76048	40	801.8720285	479.0786785		
TX	76049	30	415.062376	175.864591		
TX	76050	5	77.446934	24.2858715		
TX	76051	125	2786.924785	1554.17946		
TX	76052	30	358.540618	164.361479		
TX	76053	50	794.6239805	382.193376		
TX	76054	32	753.0870195	376.152051		
TX	76055	4	71.434	22.3727845		
TX	76058	16	218.912	69.467442		
TX	76059	2	27.2864035	14.9668695		
TX	76060	3	62.752	34.2817035		
TX	76063	104	1678.801561	905.5820495		
TX	76064	1	3.392	0.859353		
TX	76065	44	686.120753	248.0765655		
TX	76066	5	76.84	32.1441945		
TX	76067	27	778.588	462.514948		
TX	76071	2	3.0259165	1.898061		
TX	76073	8	121.064	52.0821675		
TX	76077	1	20.352	9.1092705		
TX	76078	3	39.487092	17.391825		
TX	76082	18	337.971842	147.5649665		
TX	76084	7	102.836807	48.2391855		
TX	76085	4	44.352	13.6731375		
TX	76086	53	1214.168841	829.7349955		
TX	76087	34	750.221795	442.082953		
TX	76088	5	78.016	25.1478645		
TX	76092	107	3026.932383	1801.460625		
TX	76093	1	13.568	2.5739505		
TX	76097	1	15	3.2554335		
TX	76102	46	1327.301015	897.444829		
TX	76103	7	93.096063	33.405636		
TX	76104	39	809.861109	472.383883		
TX	76105	20	283.8105175	142.2680625		
TX	76106	24	426.297184	213.164279		
